,title,genre,score,review
0,변호인,드라마,8,송강호라는 한국영화의 얼굴
1,변호인,드라마,7,송강호의 열연 법정 씬 그리고
2,변호인,드라마,8,별점 84 우리 시대에 필요한 지도자내용 8 비주얼 7 연출 8 연기 10 오락 9
3,변호인,드라마,9,이 영화를 알게 되어 감사하다
4,변호인,드라마,7,보면 가슴이 먹먹해지는 영화
5,변호인,드라마,8,쏟아지는 법정물 속에서 이 작품이 살아남은것은 야만함이 판 치는 시대에 그에 대한 그리움이 있기 때문이지 않을까
6,변호인,드라마,7,그가 싸웠던 것은 무엇이었을까
7,변호인,드라마,9,조금은 화가 치밀어 올랐지만 현실인 어디까지가 픽션이고 논픽션인지 궁금했던 영화
8,변호인,드라마,10,임시완은 시덥지도 않은 아이돌은 집어치우고 배우에 올인하는게 좋을듯
9,변호인,드라마,8,지금 이 시대에도 울림을 주는 영화 송강호라는 배우에 감사한다
10,변호인,드라마,10,꼭 자식에게 보여주고 싶은 영화다 저 당시에 저렇게 빨갱이로 몰리면 과연 몇이나 살아남을 수 있을까 이전 분들이 이룩해놓은 민주주의가 자랑스럽다 그래도 아직 좀 더 갈길은 남은 것 같다
11,변호인,드라마,8,위태로운 정의에 대한 분노
12,변호인,드라마,9,그 당시 대한민국의 쓰레기같은 비리로 물든 사회를 표현한 영화
13,변호인,드라마,7,투박함과 뻔함을 송강호와 곽도원의 연기힘 넘는다
14,변호인,드라마,9,좋은 영화입니다 이 영화를 보고 현 사회에 대해 다시 생각해보는 분들이 많아졌으니까요
15,변호인,드라마,8,잘만들어진 영화배우들의 연기가 정말 좋았다 하지만 시완의 대사전달이 좀 아쉬웠다
16,변호인,드라마,8,자칫 단조롭게 끝날 수 있는 감정선에 깔끔하게 마지막 후식까지 챙겨줘서 마음에 남는 영화다
17,변호인,드라마,9,좋은 영화
18,변호인,드라마,10,보는 나도 억울하고 슬프고 안타까운데그들은 오죽했으랴대한민국은 국민이 국가다
19,변호인,드라마,8,영화는 영화일뿐 이라고 말은 하지만영화를 보면 그 분이 떠오르는건 나뿐
20,변호인,드라마,7,판도라의 상자를 열었을 때 남아있던 희망 한조각
21,변호인,드라마,10,그분이 많이 생각났지요 어흑
22,변호인,드라마,9,송강호의 연기의 힘이 느껴지는 영화현실의 부정함이 관객들을 더욱 이끌게 된것이 아닌가 하는 생각이 들었다좋은 영화 한편을 보고 즐겁게 나왔다돼지국밥 한 그릇 땡기네예전 사건이 아니라도영화상으로 재미있게 만들어진 영화배우들의 연기와 감독의 연출력의 힘을 보여준
23,변호인,드라마,8,이게 정치적인 영화라고 상식의 영화겠지
24,변호인,드라마,7,시대를 잘 만난 영화
25,변호인,드라마,8,진정성있는 정의가 우리 사회와 만날 때
26,변호인,드라마,10,정말 최고로 재밌게 본듯 가장 사실적이고 감동적이게 만든영화
27,변호인,드라마,8,영화로서 봐도 꽤 괜찮네
28,변호인,드라마,10,아쉬움이 없는영화  참된 변호인상  논란이 되는 내용이 많지만 무관하게 영화작품은 최고이다 연기력과 스토리 모두 최고다 마지막 송변을 변호하기 위해 출석한 변호인들이 한명씩 호명될때 내 마음까지 아렸다
29,변호인,드라마,9,가슴을 울리는 영화
30,변호인,드라마,9,한줄 소감으로 변호인을 표현하자면 뜨거운 영화이다뜨겁다는 의미는 중의적이다 영화의 주인공 송우석의 열정이 뜨겁기도 하고 배우 송강호 개인의 연기력 역시 큰 감동을 줄 수 있을 정도로 뜨겁다 또 인터넷을 뜨겁게 달구고 있기에 뜨겁기도 하다사실 변호인을 관람하기 전에 여러가지 상황이 부러진 화살이 떠오르게 했다 극중 맡은 주인공들의 역할이 다르지만 큰 틀로 보면 아마도 영화를 통해 말하고자 하는 메시지는 비슷하다고 생각했었다 그리고 변호인을 보고난 후 지금은 어떻게 보면 던지고자 하는 메시지 자체도 다른 것이 아닌가 생각된다우선 변호인은 알려진 것처럼 부림사건을 틀로 고 노무현 전 대통령의 이야기를 모티브로 한다 이 때문에 온라인상에서 정치적인 내용까지 나아가 공방이 오가고 있다 개인적으로는 우선정치인 노무현과 인간 노무현 영역에서 고 노무현 전 대통령의 인간 노무현 영역을 다루고자 한 것 같다 그래서 정치인 노무현과는 거리를 두고 영화를 대하면 좋을 것 같다영화는 초반부터 소소한 웃음요소들을 통해 극적인 시대상과 부당함을 더욱 와닿게 표현한다여기에 고등학교를 졸업하고 변호사가 된 개인이 사회의 높은 벽을 실감하는 느끼며치열하게 살아가는 삶을 그린다 그리고 이런 삶을 통해 가정적인 송우석과 주위를 돌아볼줄 아는송우석을 함께 그린다 그러면서도 송우석의 캐릭터는 열정적이고 거침없는 어찌보면 다혈질 이라고 생각 할 수 있을정도의뜨거움을 보여준다 그래서 인간 송우석의 매력이 더욱 크게 영화에서 다가오는것이 아닌가 싶다약자를 위해 눈물을 흘리고 아파하면서도 부당한 상대와 맛설때는 자신의 소신과 신념을 굽히지 않고 강하게 쏟아내는 송우석의 매력은 시원함 까지 느끼게 해준다송우석 역할을 훌륭히 소화한 송강호의 열연도 이 영화의 볼거리지만 그 외에 역할을 맡은 배우들의연기도 하나까지 극을 전개하는데 매끄럽게 녹아든다 곽도원과 조민기의 연기도 영화를 살리는 포인트로서 손색이 없고 시완의 역할도 아이돌 이라는 이미지를 지우기에 충분하다다시 영화로 돌아가면 후반부는 많이 알려진 박종철추모회와 대우조선 재판 장면을 연속으로 보여준다 이 과정에서 많은 변호인단을 호명하는 장면에서 송우석이 눈물을 흘린다그리고 검은 화면속 한 줄의 자막이 흘러나온다 당시 부산지역 142명의 변호사중 99명의변호사가 변론을 위해 출석했다 이 장면이 감동적인 것은 초반부에 다른 변호사들로 부터인정받지 못하던 그의 모습과 99명의 변호인이 오버랩 되기 때문이다 극중 송우석은 말한다 시위를 해서 사회는 변하지 않는다고 그리고 그는 이 장면을 통해결국 사회는 변할 수 있다는 것을 보여주며 계란이 바위를 넘을 수 있다는 메시지를 확실하게 전달한다 이 대목이 아마도 비슷한듯 했지만 결정적으로 부러진 화살과 차이점이 아닌가 싶다 변호인은 시대 속에서 한 개인의 삶의 변화를 통해사회의 변화를 원한다면 당당히 맞서 올바르다고 생각하는 사회를 국민 스스로 만들 수 있다는긍정의 메시지를 던지고 있다
31,변호인,드라마,9,최고다 최고
32,변호인,드라마,10,영화를 보면 답이 나온다
