title,year,genre,score,review
아이 캔 스피크,2017,드라마,10,군함도랑 너무 비교되는 수작...
아이 캔 스피크,2017,드라마,10,많이 봤으면 하는 영화!!!
아이 캔 스피크,2017,드라마,10,조조로 보고 왔는데 진짜 초반에는 계속 웃다가 후반에는 계속 울었어요. 일본이 뻔뻔하게 나온 부분에서는 진짜 화나고 진짜 온갖 감정을 다 느낀 거 같아요.  나문희님이랑 이제훈 배우 연기합 진짜 좋았고 내용도 좋았어...
아이 캔 스피크,2017,드라마,10,"이거 보실분들 입소문이 괜히 난게 아닙니다!! 와.. 진짜 보길 잘했다는 생각이 들었어요. 배우분들 연기도 좋았고, 내용도 좋았습니다!"
아이 캔 스피크,2017,드라마,10,"자극적인 장면 하나 없이, 피해자분들이 입은 상처를 적나라하게 나열하지 않은채 담담히 서술해내는 영화입니다. 그렇다고 영화가 심심하냐? 전혀...never....나문희 선생님이 다 하셨어요...연기라고도 표현하기 죄..."
아이 캔 스피크,2017,드라마,9,"끼워 맞춰서 감동을 짜내려는 시도만 없었어도 만점. 연기력, 역사적 사실 전달에 있어선 100점도 모자람. 2시간 중 1시간은 실컷 웃다가 1시간은 펑펑 울었다. 그리고 한국인에 국한되지 않았다는 것도 알았고... ..."
아이 캔 스피크,2017,드라마,10,웃음과 마음의 울림을 주는 좋은영화!
아이 캔 스피크,2017,드라마,10,긴 세월에 꽃잎이 지더라도 그 향기는 여전히 남아있다.
아이 캔 스피크,2017,드라마,8,재미도 있고 감동적이었습니다. 자연스럽게 감동적이었다 할까요?ㅋㅋ 영화 보다가 저도 모르게 눈물이 또르르하고 떨어졌습니다. 많은 분들께 추천합니다. 오랜만에 좋은 영화를 본 거 같아서 기분이 좋습니다. 이런 영화가 ...
아이 캔 스피크,2017,드라마,10,마지막에 정말 속시원해지는 영화!  주인공 나옥분의  아픔과  희망 모두를  응원합니다. 감동  케미 짱!
아이 캔 스피크,2017,드라마,10,나문희는 영화속에서 나옥분 그 자체였다.
아이 캔 스피크,2017,드라마,10,일본은10년이지난지금까지도사과를하지않는다 라고말이 제일 인상깊었어요
아이 캔 스피크,2017,드라마,10,결국 진주댁이 날 울렸엉 ㅠㅠ
아이 캔 스피크,2017,드라마,10,재미있게 잘 보았습니다
아이 캔 스피크,2017,드라마,10,올해최고의영화ㅜㅜㅜㅜ나문희선생님과이제훈연기대박ㅠㅠ
아이 캔 스피크,2017,드라마,10,처음 예매할땐 가볍게 볼수 있는영화 일꺼라고 샌각했는데..반전이였어요..너무나 슬프고 가슴이 아리고 아팠습니다. 그리고 따뜻해서 좋았습니다. 적극추천입니다
아이 캔 스피크,2017,드라마,10,처음엔 몰랏지만 가면 갈수록 내용과 의미가 아주...잘봤습니다ㅎㅎ
아이 캔 스피크,2017,드라마,10,일베들아 이것마저 국뽕이라 할꺼냐?
아이 캔 스피크,2017,드라마,10,무거운주제를 유쾌하고 통쾌하게 잘풀어나갔네요
아이 캔 스피크,2017,드라마,10,직접적인 피해 장면 없이도 아픔을 전달할 수 있다는 것을 보여준 영화입니다. 덤으로 나문희씨 이제훈씨 케미도 장난 아니네요!
아이 캔 스피크,2017,드라마,10,사람X끼라면 잘못을 인정하고 사과를 해야한다. 그게 그렇게 어렵더냐?
아이 캔 스피크,2017,드라마,8,일본군 위안부 문제를 다룬 영화로 재미도 있지만 소재 자체의 무거움 때문인지 슬프고 아픈내용임. 그러나 과거 우리의 아픈역사인만큼 반드시 우리 눈으로 확인하고 잘못된 것을 바로 잡는것이 현재 우리가 해야할 역할이자 ...
아이 캔 스피크,2017,드라마,6,나문희  선생님 연기 훌륭하시다.
아이 캔 스피크,2017,드라마,7,할머니 영어배워서 동생만나려던거랑 연관 없다고 억지아니냐고들 하는데 친구 치매걸린거때문에 본능적으로 자기가 해야 할 일이 있다고 느낀거같다라는 대사 나온다. 굳이 그렇게까지 삐딱하게 볼 만큼 엉망이지 않으니 똑바로 ...
아이 캔 스피크,2017,드라마,10,웃다가 우~~~~울리는 그런 영화. 날 울리지 말아요...기존 영화들이하. 슬프다. 눈물 두방울 이면 이건 나의 마음 깊은눈물도 끌고 나오게한다..
아이 캔 스피크,2017,드라마,10,과거의 한국영화 특유의 개그와 눈물짜내기 또는 과장된 클로즈업 장면이 많이 있었음에도 만점을 준건 일본의 역사적 사실을 이렇게 대놓고 깐 영화는 못봤다. 감독의 용기에 박수를 보낸다. 장담컨데 일본에서 상영금지각이다...
아이 캔 스피크,2017,드라마,10,진짜 이제훈도 훈훈귀여운 케릭터고 그냥 요즘영화보면 보고 기분이 찜찜하거나 그러는데 이건 그냥 좋은영화 잘 봤다 ㅎ 이런 느낌이에여 ㅎㅎ이제훈은 사랑이에여
아이 캔 스피크,2017,드라마,8,나문희님의 연기는 정말 감탄스럽다.
아이 캔 스피크,2017,드라마,10,정말 영화다운 영화를 본 느낌... 개연성이 조금 떨어지지만 꾸밈없는 묘사를 본 것 같아요 감사합니다
아이 캔 스피크,2017,드라마,10,꼭 봐야할 영홥니다 ㅠㅠ
아이 캔 스피크,2017,드라마,10,웃고 울고 아주 두시간 꽉채우는 좋은 영화
아이 캔 스피크,2017,드라마,10,일본은 이 영화보고 느끼는게 없나
아이 캔 스피크,2017,드라마,10,너무 감동적이예요  눈물쏙빼고왔어요
아이 캔 스피크,2017,드라마,10,최고영화 입니다 ..나쁜사랑들
아이 캔 스피크,2017,드라마,10,기대안했는데 너무 감동이네요입소문 냅니다 꼭 보셔요
아이 캔 스피크,2017,드라마,10,ㅠㅠㅠ너무 슬펐고 재밌었어료
아이 캔 스피크,2017,드라마,8,가벼운 애길 하다가 갑자기 무거운 애기로 넘어가는데 좀 어색했습니다. 또한 전형적인 전개이기도 했는데요. 그럼에도 불구하고 눈물이 날정도로 감동적인 부분이 많았습니다. 위안부 문제!! 또 점점 잊혀져가고 있는데 이 ...
